,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
13646,South Melbourne,8/192 Cecil St,1,u,460000,S,hockingstuart,8/4/2017,2.1,3205,1,1,1,0,42,1970,Port Phillip City Council,-37.8344,144.9581,Southern Metropolitan,5943
13648,South Melbourne,5 Park Pl,2,u,650000,VB,hockingstuart,8/4/2017,2.1,3205,2,1,0,438,2,1900,Port Phillip City Council,-37.8353,144.9599,Southern Metropolitan,5943
13649,South Melbourne,24B Dow St,2,t,1100000,S,Marshall,13/05/2017,2.1,3205,2,1,1,327,75,2004,Port Phillip City Council,-37.8351,144.964,Southern Metropolitan,5943
13651,South Melbourne,27 Lyell St,3,h,1820000,S,WHITEFOX,13/05/2017,2.1,3205,3,1,1,204,105,1910,Port Phillip City Council,-37.8365,144.9497,Southern Metropolitan,5943
13652,South Melbourne,705/2 Albert Rd,1,u,580000,S,Kay,20/05/2017,2.1,3205,,,,,,,Port Phillip City Council,,,Southern Metropolitan,5943
13654,South Melbourne,13 Martin St,3,h,1780000,S,Buxton,20/05/2017,2.1,3205,3,2,2,202,,,Port Phillip City Council,-37.837,144.9585,Southern Metropolitan,5943
13656,South Melbourne,55 Cobden St,2,h,1024000,S,Williams,22/04/2017,2.1,3205,2,1,0,102,,1880,Port Phillip City Council,-37.8355,144.9675,Southern Metropolitan,5943
13657,South Melbourne,53/39 Dorcas St,3,u,680000,VB,Greg,22/04/2017,2.1,3205,3,2,2,0,110.87,2003,Port Phillip City Council,-37.8309,144.9686,Southern Metropolitan,5943
13658,South Melbourne,344 Moray St,3,h,1732000,S,Buxton,22/04/2017,2.1,3205,,,,,,,Port Phillip City Council,-37.8375,144.9651,Southern Metropolitan,5943
13659,South Melbourne,125 Napier St,2,h,1150000,PI,Greg,22/04/2017,2.1,3205,2,1,1,91,,1970,Port Phillip City Council,-37.836,144.9638,Southern Metropolitan,5943
13660,South Melbourne,411/38 Bank St,3,u,710000,VB,Greg,29/04/2017,2.1,3205,3,2,2,0,150,2001,Port Phillip City Council,-37.8319,144.9682,Southern Metropolitan,5943
13662,South Melbourne,16/284 Dorcas St,3,u,1150000,VB,Marshall,29/04/2017,2.1,3205,,,,,,,Port Phillip City Council,,,Southern Metropolitan,5943
13663,South Yarra,6/38 Chambers St,3,u,1320000,S,RT,6/5/2017,3.3,3141,3,2,2,15,15,,Melbourne City Council,-37.8398,144.9945,Southern Metropolitan,14887
13664,South Yarra,407/800 Chapel St,1,u,537000,S,hockingstuart,6/5/2017,3.3,3141,1,1,1,0,,2000,Melbourne City Council,-37.8361,144.9966,Southern Metropolitan,14887
13665,South Yarra,806/800 Chapel St,2,u,800000,VB,Beller,6/5/2017,3.3,3141,2,2,2,0,,2000,Melbourne City Council,-37.8361,144.9966,Southern Metropolitan,14887
13668,South Yarra,1/52 Caroline St,1,u,410000,S,hockingstuart,8/4/2017,3.3,3141,1,1,0,0,,,Melbourne City Council,-37.8378,144.9883,Southern Metropolitan,14887
13669,South Yarra,10/14 Cromwell Rd,2,u,499000,S,hockingstuart,8/4/2017,3.3,3141,2,1,1,0,,1970,Melbourne City Council,-37.8452,145.0001,Southern Metropolitan,14887
13672,South Yarra,14 Moore St,2,h,1214000,S,hockingstuart,8/4/2017,3.3,3141,2,1,0,161,82,1900,Melbourne City Council,-37.8454,144.9891,Southern Metropolitan,14887
13674,South Yarra,9/384 Toorak Rd,2,u,485000,PI,Biggin,8/4/2017,3.3,3141,2,1,0,5467,73,1970,Melbourne City Council,-37.8406,145.0035,Southern Metropolitan,14887
13676,South Yarra,2/63 Domain St,3,u,920000,S,Williams,13/05/2017,3.3,3141,3,1,1,0,,1970,Melbourne City Council,-37.836,144.9782,Southern Metropolitan,14887
13678,South Yarra,30/30 Murphy St,2,u,615000,S,hockingstuart,13/05/2017,3.3,3141,2,1,1,0,,,Melbourne City Council,-37.837,144.9907,Southern Metropolitan,14887
13680,South Yarra,3/555 Punt Rd,2,u,642000,S,Kay,13/05/2017,3.3,3141,2,1,1,595,,,Melbourne City Council,-37.8422,144.9855,Southern Metropolitan,14887
13682,South Yarra,17/63 Alexandra Av,1,u,440000,S,hockingstuart,20/05/2017,3.3,3141,,,,,,,Melbourne City Council,,,Southern Metropolitan,14887
13683,South Yarra,65 Caroline St,3,t,3475000,S,Marshall,20/05/2017,3.3,3141,3,3,1,296,,,Melbourne City Council,-37.8366,144.9882,Southern Metropolitan,14887
13684,South Yarra,7 Cassell St,2,h,1710000,PI,Jellis,20/05/2017,3.3,3141,2,2,0,208,145,1880,Melbourne City Council,-37.8433,145.0024,Southern Metropolitan,14887
13687,South Yarra,26 Howitt St,2,u,851000,S,Biggin,20/05/2017,3.3,3141,2,1,1,284,,,Melbourne City Council,-37.8471,145.0019,Southern Metropolitan,14887
13688,South Yarra,30 Nicholson St,3,t,2030000,S,Kay,20/05/2017,3.3,3141,3,2,2,201,,,Melbourne City Council,-37.8428,144.9877,Southern Metropolitan,14887
13689,South Yarra,11/17 Como Av,2,t,1040000,PI,RT,22/04/2017,3.3,3141,,,,,,,Melbourne City Council,,,Southern Metropolitan,14887
13690,South Yarra,9 Nicholson St,2,h,1405000,S,Beller,22/04/2017,3.3,3141,2,1,0,219,,,Melbourne City Council,-37.8424,144.9867,Southern Metropolitan,14887
13691,South Yarra,403/79 River St,2,u,850000,S,hockingstuart,22/04/2017,3.3,3141,2,2,2,17200,,2000,Melbourne City Council,-37.8361,144.9966,Southern Metropolitan,14887
13692,South Yarra,5/9 Rockley Rd,2,u,792500,S,Jellis,22/04/2017,3.3,3141,2,1,1,0,106,1970,Melbourne City Council,-37.8383,144.9995,Southern Metropolitan,14887
13693,South Yarra,1/23 Argo St,2,t,880000,PI,Kay,29/04/2017,3.3,3141,2,2,2,,,,Melbourne City Council,-37.8437,144.9869,Southern Metropolitan,14887
13694,South Yarra,13/47 Marne St,1,u,390500,SP,hockingstuart,29/04/2017,3.3,3141,1,1,0,775,46,1960,Melbourne City Council,-37.8354,144.984,Southern Metropolitan,14887
13696,South Yarra,9/21 Park La,3,u,2050000,S,Kay,29/04/2017,3.3,3141,3,2,2,3197,,,Melbourne City Council,-37.8446,144.9844,Southern Metropolitan,14887
13697,South Yarra,1/215 Williams Rd,2,u,595000,S,Kay,29/04/2017,3.3,3141,2,1,2,0,,,Melbourne City Council,-37.8447,145.0037,Southern Metropolitan,14887
13698,St Kilda,5/18 Barkly St,1,u,346000,SP,Buxton,6/5/2017,6.1,3182,1,1,1,678,,,Port Phillip City Council,-37.8585,144.983,Southern Metropolitan,13240
13699,St Kilda,6/25 Mitford St,3,u,786000,S,McGrath,6/5/2017,6.1,3182,,,,,,,Port Phillip City Council,-37.8723,144.9817,Southern Metropolitan,13240
13700,St Kilda,22/3 Alfred Sq,1,u,520000,S,hockingstuart,8/4/2017,6.1,3182,1,1,1,2422,,1970,Port Phillip City Council,-37.8644,144.9741,Southern Metropolitan,13240
13701,St Kilda,11/52 Alma Rd,1,u,320000,VB,hockingstuart,8/4/2017,6.1,3182,1,1,1,1036,,,Port Phillip City Council,-37.8607,144.9873,Southern Metropolitan,13240
13702,St Kilda,13/220 Barkly St,2,u,610500,SP,Buxton,8/4/2017,6.1,3182,2,2,1,2920,84,2006,Port Phillip City Council,-37.8709,144.9807,Southern Metropolitan,13240
13703,St Kilda,22/14 Crimea St,1,u,350000,VB,hockingstuart,8/4/2017,6.1,3182,1,1,1,1236,,1968,Port Phillip City Council,-37.8585,144.9884,Southern Metropolitan,13240
13704,St Kilda,23A Havelock St,2,h,1120000,S,hockingstuart,8/4/2017,6.1,3182,2,1,0,135,74,1930,Port Phillip City Council,-37.8661,144.9802,Southern Metropolitan,13240
13706,St Kilda,23A Octavia St,3,h,1450000,VB,hockingstuart,8/4/2017,6.1,3182,,,,,,,Port Phillip City Council,-37.858,144.9849,Southern Metropolitan,13240
13707,St Kilda,3 Steele Av,2,h,1050000,S,Marshall,8/4/2017,6.1,3182,,,,,,,Port Phillip City Council,,,Southern Metropolitan,13240
13709,St Kilda,2/25 Acland St,2,t,1077000,S,Marshall,13/05/2017,6.1,3182,2,1,1,455,98,1890,Port Phillip City Council,-37.8636,144.9749,Southern Metropolitan,13240
13710,St Kilda,34 Acland St,2,h,1301000,S,Wilson,13/05/2017,6.1,3182,2,1,1,165,97,1910,Port Phillip City Council,-37.8658,144.9774,Southern Metropolitan,13240
13712,St Kilda,25 Fawkner St,2,h,1440000,S,Marshall,13/05/2017,6.1,3182,2,1,2,194,112,1890,Port Phillip City Council,-37.8658,144.9795,Southern Metropolitan,13240
13713,St Kilda,11/38 Fitzroy St,1,u,410000,VB,Hodges,13/05/2017,6.1,3182,,,,,,,Port Phillip City Council,,,Southern Metropolitan,13240
13715,St Kilda,15/20 Princes St,2,u,680000,S,Buxton,20/05/2017,6.1,3182,2,1,0,0,,,Port Phillip City Council,-37.859,144.9816,Southern Metropolitan,13240
13716,St Kilda,63 Chapel St,3,h,1361000,S,Buxton,22/04/2017,6.1,3182,3,1,0,246,,,Port Phillip City Council,-37.8635,144.991,Southern Metropolitan,13240
13717,St Kilda,7/29 Marine Pde,3,u,1000000,SP,McGrath,22/04/2017,6.1,3182,3,1,0,0,115,1930,Port Phillip City Council,-37.8718,144.9767,Southern Metropolitan,13240
13718,St Kilda,12/8 Mitford St,2,u,480000,S,Buxton,22/04/2017,6.1,3182,,,,,,,Port Phillip City Council,-37.8708,144.9812,Southern Metropolitan,13240
13720,St Kilda,5/48 Waterloo Cr,1,u,500000,PI,RT,22/04/2017,6.1,3182,,,,,,,Port Phillip City Council,,,Southern Metropolitan,13240
13722,St Kilda,11/74 Barkly St,2,u,902000,S,McGrath,29/04/2017,6.1,3182,2,1,1,18,,,Port Phillip City Council,-37.8624,144.9823,Southern Metropolitan,13240
13723,St Kilda,1/23 Eildon Rd,3,u,1190000,S,Gary,29/04/2017,6.1,3182,3,1,1,460,140,1955,Port Phillip City Council,-37.8623,144.9772,Southern Metropolitan,13240
13724,St Kilda,5 Octavia St,2,h,920000,S,hockingstuart,29/04/2017,6.1,3182,2,1,0,190,,,Port Phillip City Council,-37.8579,144.9844,Southern Metropolitan,13240
13726,St Kilda,105/60 Wellington St,2,u,482000,S,McGrath,29/04/2017,6.1,3182,2,1,1,0,54,2004,Port Phillip City Council,-37.857,144.9867,Southern Metropolitan,13240
13727,St Kilda,35 Wordsworth St,4,h,2260000,S,McGrath,29/04/2017,6.1,3182,4,2,1,297,,,Port Phillip City Council,-37.8729,144.9794,Southern Metropolitan,13240
13728,Strathmore,18 Strathaird St,4,h,810000,PI,Nelson,6/5/2017,9.7,3041,4,1,1,543,137,1960,Moonee Valley City Council,-37.7199,144.9044,Western Metropolitan,3284
13730,Strathmore,31A First Av,3,h,750000,VB,Brad,8/4/2017,9.7,3041,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3284
13731,Strathmore,8 Jones Ct,3,h,1021000,S,Considine,8/4/2017,9.7,3041,3,2,2,371,183,2014,Moonee Valley City Council,-37.7229,144.9055,Western Metropolitan,3284
13732,Strathmore,12 Loeman St,3,t,925000,S,Frank,8/4/2017,9.7,3041,3,3,1,555,293,,Moonee Valley City Council,-37.7345,144.9228,Western Metropolitan,3284
13733,Strathmore,186 Mascoma St,5,h,910000,SP,Brad,8/4/2017,9.7,3041,5,2,2,533,204,1965,Moonee Valley City Council,-37.7189,144.9044,Western Metropolitan,3284
13734,Strathmore,23a Mascoma St,4,h,1225000,S,Considine,8/4/2017,9.7,3041,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3284
13736,Strathmore,221 Mascoma St,3,h,900000,VB,Nelson,13/05/2017,9.7,3041,3,1,2,531,,,Moonee Valley City Council,-37.7192,144.9045,Western Metropolitan,3284
13738,Strathmore,41 Houston Av,3,h,1350000,S,Nelson,20/05/2017,9.7,3041,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3284
13739,Strathmore,1 Lebanon St,3,h,995000,SP,Jellis,20/05/2017,9.7,3041,3,2,3,653,,1940,Moonee Valley City Council,-37.7296,144.9225,Western Metropolitan,3284
13740,Strathmore,2/54 Magdala Av,3,h,860000,PI,McDonald,20/05/2017,9.7,3041,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3284
13741,Strathmore,68 Willonga St,5,h,1150000,SP,Brad,20/05/2017,9.7,3041,5,2,2,702,,,Moonee Valley City Council,-37.7253,144.9146,Western Metropolitan,3284
13743,Sunshine,54 Ardoyne St,3,h,940000,S,Douglas,6/5/2017,12.6,3020,3,2,2,572,190,1950,Brimbank City Council,-37.7966,144.8256,Western Metropolitan,3755
13744,Sunshine,138 Devonshire Rd,4,h,726000,S,YPA,6/5/2017,12.6,3020,4,2,0,567,95,1950,Brimbank City Council,-37.7866,144.8458,Western Metropolitan,3755
13745,Sunshine,27 Parsons St,3,h,950000,S,Douglas,6/5/2017,12.6,3020,3,1,1,725,,,Brimbank City Council,-37.7918,144.8419,Western Metropolitan,3755
13746,Sunshine,14 Baker St,4,h,760000,S,Douglas,8/4/2017,12.6,3020,4,1,5,650,,,Brimbank City Council,-37.7867,144.8437,Western Metropolitan,3755
13747,Sunshine,2 Colin St,4,h,990000,S,FN,8/4/2017,12.6,3020,4,1,6,654,189,1950,Brimbank City Council,-37.7803,144.8415,Western Metropolitan,3755
13748,Sunshine,10 Dundalk St,3,h,651500,S,Barry,8/4/2017,12.6,3020,3,1,1,555,,,Brimbank City Council,-37.7988,144.822,Western Metropolitan,3755
13749,Sunshine,1/14 Rawson Av,3,h,600000,S,Barry,8/4/2017,12.6,3020,,,,,,,Brimbank City Council,,,Western Metropolitan,3755
13750,Sunshine,153 Morris St,4,h,891000,S,hockingstuart,20/05/2017,12.6,3020,,,,,,,Brimbank City Council,,,Western Metropolitan,3755
13751,Sunshine,143B Cornwall Rd,2,h,596000,S,Douglas,22/04/2017,12.6,3020,,,,,,,Brimbank City Council,,,Western Metropolitan,3755
13753,Sunshine,2 Islington St,4,h,970000,S,Douglas,22/04/2017,12.6,3020,4,1,4,615,,,Brimbank City Council,-37.785,144.8383,Western Metropolitan,3755
13754,Sunshine,3 Mellor St,3,h,841000,S,Douglas,22/04/2017,12.6,3020,3,1,2,557,,1960,Brimbank City Council,-37.7811,144.8373,Western Metropolitan,3755
13755,Sunshine,69 Duke St,3,h,710000,S,Village,29/04/2017,12.6,3020,3,1,0,483,93.84,1950,Brimbank City Council,-37.7875,144.8456,Western Metropolitan,3755
13756,Sunshine,73 Monash St,3,h,840000,PI,FN,29/04/2017,12.6,3020,3,1,1,462,108,1930,Brimbank City Council,-37.7894,144.8383,Western Metropolitan,3755
13757,Sunshine,115 Wright St,3,h,660000,S,Douglas,29/04/2017,12.6,3020,3,2,2,660,,,Brimbank City Council,-37.7954,144.8246,Western Metropolitan,3755
13758,Sunshine,10 Yewers St,3,h,692000,S,FN,29/04/2017,12.6,3020,3,1,1,485,,,Brimbank City Council,-37.7868,144.8428,Western Metropolitan,3755
13759,Sunshine North,25 Lincoln St,3,h,830000,S,Douglas,6/5/2017,13.3,3020,3,1,2,608,,,Brimbank City Council,-37.7743,144.8446,Western Metropolitan,4217
13760,Sunshine North,19 Plymouth Cl,3,h,600000,S,Douglas,6/5/2017,13.3,3020,3,1,2,465,,,Brimbank City Council,-37.7549,144.8304,Western Metropolitan,4217
13761,Sunshine North,4 Godfrey Av,3,h,660000,PI,Bells,8/4/2017,13.3,3020,,,,,,,Brimbank City Council,,,Western Metropolitan,4217
13762,Sunshine North,1 Metherall St,4,h,630000,S,Barry,8/4/2017,13.3,3020,,,,,,,Brimbank City Council,-37.7657,144.8286,Western Metropolitan,4217
13764,Sunshine North,25 Downing St,3,h,718000,S,Douglas,13/05/2017,13.3,3020,3,1,2,551,,,Brimbank City Council,-37.771,144.8389,Western Metropolitan,4217
13765,Sunshine North,1/30 Camperdown Av,3,u,412500,SP,Jas,20/05/2017,13.3,3020,,,,,,,Brimbank City Council,,,Western Metropolitan,4217
13768,Sunshine North,3 Belmore Rd,4,h,775000,S,Douglas,29/04/2017,13.3,3020,4,1,2,665,147,1980,Brimbank City Council,-37.7662,144.8383,Western Metropolitan,4217
13769,Sunshine North,3 Heron Av,3,h,571000,S,GL,29/04/2017,13.3,3020,,,,,,,Brimbank City Council,,,Western Metropolitan,4217
13770,Sunshine North,90 McIntyre Rd,3,h,490000,PI,Douglas,29/04/2017,13.3,3020,3,1,1,546,145,1960,Brimbank City Council,-37.7676,144.8307,Western Metropolitan,4217
13771,Sunshine West,32 Killara St,3,h,716000,S,Barry,6/5/2017,13.5,3020,3,1,1,534,120,1975,Brimbank City Council,-37.7886,144.821,Western Metropolitan,6763
13773,Sunshine West,19 Buckingham Cr,3,h,660000,S,Barry,8/4/2017,13.5,3020,,,,,,,Brimbank City Council,,,Western Metropolitan,6763
13774,Sunshine West,7 Foxcroft Ct,3,h,511000,S,Barry,8/4/2017,13.5,3020,3,2,2,519,,,Brimbank City Council,-37.7997,144.7968,Western Metropolitan,6763
13775,Sunshine West,1/10 Fremont Pde,4,h,515000,SP,Brad,8/4/2017,13.5,3020,4,2,2,332,159,2006,Brimbank City Council,-37.7962,144.8064,Western Metropolitan,6763
13776,Sunshine West,27 Warmington Rd,3,h,530000,S,Barry,8/4/2017,13.5,3020,3,1,1,573,119,1970,Brimbank City Council,-37.8017,144.8258,Western Metropolitan,6763
13777,Sunshine West,91 Hilma St,4,h,685000,S,Bells,13/05/2017,13.5,3020,4,2,2,572,184,1967,Brimbank City Council,-37.7912,144.7979,Western Metropolitan,6763
13778,Sunshine West,1/54 Whitesides Av,3,h,475000,S,Douglas,13/05/2017,13.5,3020,,,,,,,Brimbank City Council,,,Western Metropolitan,6763
13781,Sunshine West,13 Murray St,3,h,700000,PI,Douglas,22/04/2017,13.5,3020,3,1,2,701,,,Brimbank City Council,-37.7889,144.8047,Western Metropolitan,6763
13782,Sunshine West,133 David Dr,3,t,521000,S,Bells,29/04/2017,13.5,3020,3,3,2,134,124.45,2008,Brimbank City Council,-37.79,144.7886,Western Metropolitan,6763
13783,Sunshine West,100 Links St,3,h,571000,S,GL,29/04/2017,13.5,3020,3,1,1,757,100,1950,Brimbank City Council,-37.7845,144.8088,Western Metropolitan,6763
13784,Sunshine West,4/2 Smart St,2,u,270000,S,S&L,29/04/2017,13.5,3020,,,,,,,Brimbank City Council,-37.7855,144.8151,Western Metropolitan,6763
13785,Sunshine West,7 The Mews,3,h,710000,SP,S&L,29/04/2017,13.5,3020,3,1,4,990,,,Brimbank City Council,-37.7928,144.8068,Western Metropolitan,6763
13786,Surrey Hills,3/700 Canterbury Rd,2,u,682000,S,Ham,6/5/2017,11.2,3127,2,1,2,119,,,Boroondara City Council,-37.8271,145.1032,Southern Metropolitan,5457
13787,Surrey Hills,1/251 Elgar Rd,3,h,1100000,VB,Jellis,6/5/2017,11.2,3127,,,,,,,Boroondara City Council,,,Southern Metropolitan,5457
13789,Surrey Hills,2/35 Boisdale St,2,u,825000,S,Fletchers,13/05/2017,11.2,3127,2,1,2,180,85,1970,Boroondara City Council,-37.8351,145.103,Southern Metropolitan,5457
13790,Surrey Hills,61 Broughton Rd,3,h,1525000,S,Fletchers,13/05/2017,11.2,3127,3,2,2,347,195,2013,Boroondara City Council,-37.8323,145.105,Southern Metropolitan,5457
13792,Surrey Hills,18 Empress Rd,2,h,1260000,SP,Jellis,13/05/2017,11.2,3127,2,1,0,269,124,1910,Boroondara City Council,-37.8201,145.0887,Southern Metropolitan,5457
13795,Surrey Hills,29 Weybridge St,4,h,2360000,S,Marshall,13/05/2017,11.2,3127,4,2,2,764,265,1930,Boroondara City Council,-37.818,145.0946,Southern Metropolitan,5457
13796,Surrey Hills,1/6 Blackburn St,2,h,1250000,SP,Fletchers,20/05/2017,11.2,3127,2,2,1,323,96,1980,Boroondara City Council,-37.823,145.0993,Southern Metropolitan,5457
13797,Surrey Hills,26 Everton Gr,4,h,1490000,S,Noel,20/05/2017,11.2,3127,4,1,4,605,,,Boroondara City Council,-37.8292,145.1053,Southern Metropolitan,5457
13800,Surrey Hills,5 Royal La,3,h,1100000,PI,Ray,20/05/2017,11.2,3127,,,,,,,Boroondara City Council,,,Southern Metropolitan,5457
13801,Surrey Hills,6A Thistle St,4,h,1600000,PI,Marshall,20/05/2017,11.2,3127,4,1,2,600,186,1886,Boroondara City Council,-37.8327,145.0976,Southern Metropolitan,5457
13803,Surrey Hills,68 Weybridge St,3,h,1652000,S,Kay,20/05/2017,11.2,3127,3,2,2,368,150,,Boroondara City Council,-37.8176,145.0882,Southern Metropolitan,5457
13804,Surrey Hills,4/537 Whitehorse Rd,2,u,925000,VB,Noel,20/05/2017,11.2,3127,,,,,,,Boroondara City Council,,,Southern Metropolitan,5457
13808,Surrey Hills,8 Durham Rd,4,h,2370000,PI,Jellis,29/04/2017,11.2,3127,4,3,2,773,300,1900,Boroondara City Council,-37.8263,145.0911,Southern Metropolitan,5457
13809,Templestowe Lower,2/92 Foote St,3,t,940000,PI,Jellis,6/5/2017,13.8,3107,3,2,3,281,,2011,Manningham City Council,-37.7586,145.1211,Eastern Metropolitan,5420
13810,Templestowe Lower,6 Jean St,3,h,1503500,S,Noel,6/5/2017,13.8,3107,3,1,1,907,,,Manningham City Council,-37.7628,145.1185,Eastern Metropolitan,5420
13811,Templestowe Lower,8 Esther St,3,t,950000,VB,hockingstuart,8/4/2017,13.8,3107,3,2,2,306,,,Manningham City Council,-37.7658,145.1014,Eastern Metropolitan,5420
13812,Templestowe Lower,4 Michael St,3,h,1370000,S,Barry,8/4/2017,13.8,3107,3,1,2,743,,,Manningham City Council,-37.7703,145.1086,Eastern Metropolitan,5420
13813,Templestowe Lower,5 Fran Ct,4,h,1181000,SP,Parkes,13/05/2017,13.8,3107,4,2,2,805,,,Manningham City Council,-37.7565,145.1067,Eastern Metropolitan,5420
13814,Templestowe Lower,21 Rooney St,3,h,1385000,S,Barry,13/05/2017,13.8,3107,3,1,2,745,,,Manningham City Council,-37.769,145.1108,Eastern Metropolitan,5420
13815,Templestowe Lower,8 Eagle Ri,3,h,1230000,S,Ray,20/05/2017,13.8,3107,,,,,,,Manningham City Council,,,Eastern Metropolitan,5420
13816,Templestowe Lower,19 Kanooka Av,3,h,1340000,S,Biggin,20/05/2017,13.8,3107,,,,,,,Manningham City Council,,,Eastern Metropolitan,5420
13818,Templestowe Lower,258 Thompsons Rd,3,h,1180000,S,Philip,20/05/2017,13.8,3107,3,1,3,655,,,Manningham City Council,-37.7685,145.1026,Eastern Metropolitan,5420
13819,Templestowe Lower,8 Andromeda Wy,4,h,1647000,S,Barry,22/04/2017,13.8,3107,,,,,,,Manningham City Council,,,Eastern Metropolitan,5420
13821,Templestowe Lower,33 Sinclair Av,4,h,1550000,S,Ray,22/04/2017,13.8,3107,,,,,,,Manningham City Council,,,Eastern Metropolitan,5420
13822,Templestowe Lower,254 Thompsons Rd,4,h,1302000,S,Ray,22/04/2017,13.8,3107,4,2,2,650,,,Manningham City Council,-37.7686,145.1023,Eastern Metropolitan,5420
13823,Templestowe Lower,11 Airdrie Ct,5,h,1775000,S,Jellis,29/04/2017,13.8,3107,5,4,2,501,,,Manningham City Council,-37.762,145.1244,Eastern Metropolitan,5420
13824,Templestowe Lower,42 Jacana Av,4,h,1611000,S,Barry,29/04/2017,13.8,3107,,,,,,,Manningham City Council,,,Eastern Metropolitan,5420
13825,Templestowe Lower,12 Rose Av,3,t,975000,PI,Jellis,29/04/2017,13.8,3107,,,,,,,Manningham City Council,,,Eastern Metropolitan,5420
13826,Thornbury,8/350 Gooch St,3,u,750000,SP,McGrath,6/5/2017,6.5,3071,,,,,,,Darebin City Council,,,Northern Metropolitan,8870
13827,Thornbury,154 Normanby Av,3,h,765000,SP,Nelson,6/5/2017,6.5,3071,,,,,,,Darebin City Council,,,Northern Metropolitan,8870
13828,Thornbury,177 Raleigh St,3,h,1750000,S,McGrath,6/5/2017,6.5,3071,3,1,3,712,,,Darebin City Council,-37.7598,145.0118,Northern Metropolitan,8870
13829,Thornbury,129 Collins St,3,h,1345000,S,Love,8/4/2017,6.5,3071,3,2,4,584,,,Darebin City Council,-37.7555,145.0152,Northern Metropolitan,8870
13830,Thornbury,104 Mansfield St,3,h,1080000,S,Miles,8/4/2017,6.5,3071,3,1,1,408,,,Darebin City Council,-37.7573,145.0083,Northern Metropolitan,8870
13832,Thornbury,145 Shaftesbury Pde,3,h,1195000,S,Love,8/4/2017,6.5,3071,3,1,2,463,131,1930,Darebin City Council,-37.7593,144.9885,Northern Metropolitan,8870
13833,Thornbury,4/2 Strettle St,2,u,716000,S,Love,8/4/2017,6.5,3071,2,1,1,0,87,1995,Darebin City Council,-37.7554,144.982,Northern Metropolitan,8870
13835,Thornbury,9 Ethel St,3,t,865000,S,buyMyplace,13/05/2017,6.5,3071,3,2,2,194,,2000,Darebin City Council,-37.7538,144.9991,Northern Metropolitan,8870
13836,Thornbury,1/73 Flinders St,2,u,462000,S,Nelson,13/05/2017,6.5,3071,2,1,1,0,,1970,Darebin City Council,-37.7561,145.0067,Northern Metropolitan,8870
13837,Thornbury,107 Hutton St,3,h,1100000,PI,Woodards,13/05/2017,6.5,3071,3,2,1,359,,,Darebin City Council,-37.7551,144.9916,Northern Metropolitan,8870
13838,Thornbury,221 Mansfield St,4,h,1635000,S,Jellis,13/05/2017,6.5,3071,4,2,2,464,,,Darebin City Council,-37.7579,145.0169,Northern Metropolitan,8870
13839,Thornbury,3/1 Smith St,3,t,998000,SP,Jellis,13/05/2017,6.5,3071,3,2,1,0,166,2001,Darebin City Council,-37.7579,145,Northern Metropolitan,8870
13840,Thornbury,3/31 Clapham St,2,u,600000,S,Love,20/05/2017,6.5,3071,2,1,1,0,59,1960,Darebin City Council,-37.7549,144.9979,Northern Metropolitan,8870
13841,Thornbury,35D Clapham St,3,h,1346000,S,Nelson,20/05/2017,6.5,3071,3,2,2,349,130,1918,Darebin City Council,-37.7544,144.998,Northern Metropolitan,8870
13842,Thornbury,171 Mansfield St,3,h,1130000,S,Jellis,20/05/2017,6.5,3071,3,1,1,381,,,Darebin City Council,-37.7575,145.0128,Northern Metropolitan,8870
13844,Thornbury,292 Rathmines St,3,h,1275000,PI,Jellis,20/05/2017,6.5,3071,3,1,2,517,115,1950,Darebin City Council,-37.7638,145.0182,Northern Metropolitan,8870
13845,Thornbury,10 Speight St,3,h,1200000,S,Woodards,20/05/2017,6.5,3071,3,1,1,447,,,Darebin City Council,-37.7622,145.0074,Northern Metropolitan,8870
13848,Thornbury,140 Dundas St,2,h,915000,S,Love,22/04/2017,6.5,3071,2,1,1,502,,,Darebin City Council,-37.7541,145.016,Northern Metropolitan,8870
13849,Thornbury,199 Mansfield St,1,u,300000,SP,McGrath,22/04/2017,6.5,3071,1,1,1,948,,1970,Darebin City Council,-37.7577,145.0151,Northern Metropolitan,8870
13850,Thornbury,2/33 Swift St,2,t,1050000,SP,McGrath,22/04/2017,6.5,3071,,,,,,,Darebin City Council,,,Northern Metropolitan,8870
13851,Thornbury,1/44 Hammond St,3,u,880000,SP,McGrath,29/04/2017,6.5,3071,3,1,2,242,117,1995,Darebin City Council,-37.7639,145.0135,Northern Metropolitan,8870
13852,Thornbury,58 Leinster Gr,2,t,960000,S,Jellis,29/04/2017,6.5,3071,2,2,2,158,133,2007,Darebin City Council,-37.7587,144.9881,Northern Metropolitan,8870
13853,Thornbury,4/114 Normanby Av,2,u,421000,SP,Nelson,29/04/2017,6.5,3071,,,,,,,Darebin City Council,,,Northern Metropolitan,8870
